Day,Susceptible,Infected,Recovered,Dead,Vaccinated
0,3496,5,0,0,0
1,3437,63,0,1,0
2,3391,88,20,2,0
3,3292,154,50,5,0
4,3236,159,90,16,0
5,3198,154,126,23,0
6,3115,172,188,26,0
7,3052,174,243,32,0
8,3005,157,299,40,0
9,2936,184,338,43,0
10,2885,162,409,45,0
11,2855,138,457,51,0
12,2794,158,495,54,0
13,2730,177,537,57,0
14,2638,217,584,62,0
15,2577,206,647,71,0
16,2507,218,701,75,0
17,2402,246,770,83,0
18,2302,268,842,89,0
19,2222,250,930,99,0
20,2134,256,992,106,13
21,2019,276,1060,117,29
22,1900,288,1138,131,44
23,1803,275,1224,144,55
24,1709,280,1299,149,64
25,1615,266,1384,158,78
26,1514,269,1463,169,86
27,1439,251,1541,175,95
28,1371,228,1616,180,106
29,1319,201,1684,185,112
30,1265,173,1756,187,120
31,1209,160,1807,193,132
32,1167,134,1862,196,142
33,1126,110,1909,204,152
34,1082,102,1942,208,167
35,1035,103,1971,212,180
36,973,137,1994,214,183
37,920,142,2031,217,191
38,869,128,2081,224,199
39,820,112,2128,233,208
40,990,110,1946,239,216
41,1149,109,1779,243,221
42,1280,107,1642,246,226
43,1391,114,1510,251,235
44,1497,115,1389,256,244
45,1572,133,1284,260,252
46,1646,132,1198,264,261
47,1693,152,1117,267,272
48,1748,154,1052,272,275
49,1786,164,993,275,283
50,1827,152,950,280,292
51,1833,188,900,282,298
52,1853,194,866,287,301
53,1880,199,824,294,304
54,1890,201,796,302,312
55,1907,182,782,311,319
56,1900,210,755,318,318
57,1899,210,747,325,320
58,1900,203,743,330,325
59,1890,213,726,337,335
60,1856,253,715,345,332
61,1835,265,717,357,327
62,1794,282,734,367,324
63,1757,294,741,385,324
64,1709,324,749,397,322
65,1690,320,769,408,314
66,1666,318,789,419,309
67,1680,277,800,430,314
68,1674,253,807,441,326
69,1666,262,795,450,328
70,1653,247,807,458,336
71,1653,235,801,471,341
72,1619,266,789,487,340
73,1604,255,799,494,349
74,1593,250,806,498,354
75,1571,276,796,505,353
76,1542,281,799,519,360
77,1528,279,805,524,365
78,1495,302,817,531,356
79,1477,307,812,547,358
80,1461,311,811,559,359
81,1425,325,829,567,355
82,1395,318,847,581,360
83,1370,327,859,591,354
84,1316,346,881,602,356
85,1262,380,894,618,347
86,1231,375,921,631,343
87,1220,366,933,642,340
88,1185,382,942,658,334
89,1166,377,972,669,317
90,1159,353,1001,682,306
91,1154,336,1012,692,307
92,1133,334,1033,700,301
93,1128,338,1021,713,301
94,1103,363,1022,723,290
95,1092,363,1023,731,292
96,1098,346,1031,744,282
97,1085,367,1018,758,273
98,1077,376,1017,767,264
99,1083,328,1043,781,266
100,1102,328,1021,789,261
101,1111,294,1022,807,267
102,1129,271,1012,818,271
103,1152,249,999,827,274
104,1174,228,980,835,284
